"id";"value";"time";"read"
173;2.2911;"1619466675.9756";"0"
171;2.30263;"1619466675.4756";"0"
172;2.29238;"1619466675.7256";"0"
170;2.29366;"1619466675.2256";"0"
174;2.27957;"1619466676.2256";"0"
169;2.27445;"1619466674.9756";"0"
177;2.23602;"1619466676.9756";"0"
178;2.22321;"1619466677.2256";"0"
180;2.20784;"1619466677.7256";"0"
179;2.21424;"1619466677.4756";"0"
175;2.26804;"1619466676.4756";"0"
176;2.25523;"1619466676.7256";"0"
183;2.18862;"1619466678.4756";"0"
181;2.20656;"1619466677.9756";"0"
184;2.1835;"1619466678.7256";"0"
182;2.19503;"1619466678.2256";"0"
185;2.18222;"1619466678.9756";"0"
186;2.17837;"1619466679.2256";"0"
187;2.18222;"1619466679.4756";"0"
188;2.17453;"1619466679.7256";"0"
190;2.17069;"1619466680.2256";"0"
192;2.17197;"1619466680.7256";"0"
191;2.17069;"1619466680.4756";"0"
189;2.17453;"1619466679.9756";"0"
195;2.15788;"1619466681.4756";"0"
193;2.17069;"1619466680.9756";"0"
197;2.1566;"1619466681.9756";"0"
196;2.15788;"1619466681.7256";"0"
194;2.15916;"1619466681.2256";"0"
198;2.15275;"1619466682.2256";"0"
200;2.15531;"1619466682.7256";"0"
201;2.15147;"1619466682.9756";"0"
203;2.14891;"1619466683.4756";"0"
204;2.15147;"1619466683.7256";"0"
199;2.15531;"1619466682.4756";"0"
202;2.15019;"1619466683.2256";"0"
205;2.15019;"1619466683.9756";"0"
208;2.16172;"1619466684.7256";"0"
207;2.16044;"1619466684.4756";"0"
209;2.17069;"1619466684.9756";"0"
210;2.17453;"1619466685.2256";"0"
206;2.15403;"1619466684.2256";"0"
216;2.17709;"1619466686.7256";"0"
214;2.18606;"1619466686.2256";"0"
215;2.17837;"1619466686.4756";"0"
212;2.18606;"1619466685.7256";"0"
213;2.18862;"1619466685.9756";"0"
211;2.18478;"1619466685.4756";"0"
217;2.17581;"1619466686.9756";"0"
220;2.17325;"1619466687.7256";"0"
221;2.16941;"1619466687.9756";"0"
