"id";"value";"time";"read"
185;1.16863;"1619462144.6309";"0"
188;1.16863;"1619462145.3809";"0"
190;1.18016;"1619462145.8809";"0"
189;1.17888;"1619462145.6309";"0"
192;1.18528;"1619462146.3809";"0"
191;1.18144;"1619462146.1309";"0"
187;1.16735;"1619462145.1309";"0"
194;1.19809;"1619462146.8809";"0"
197;1.25446;"1619462147.6309";"0"
198;1.27752;"1619462147.8809";"0"
193;1.18912;"1619462146.6309";"0"
195;1.21218;"1619462147.1309";"0"
196;1.22627;"1619462147.3809";"0"
199;1.29929;"1619462148.1309";"0"
200;1.29545;"1619462148.3809";"0"
204;1.27623;"1619462149.3809";"0"
202;1.28776;"1619462148.8809";"0"
201;1.29417;"1619462148.6309";"0"
203;1.27752;"1619462149.1309";"0"
205;1.27367;"1619462149.6309";"0"
209;1.3326;"1619462150.6309";"0"
206;1.29033;"1619462149.8809";"0"
207;1.31338;"1619462150.1309";"0"
210;1.33772;"1619462150.8809";"0"
208;1.31979;"1619462150.3809";"0"
212;1.39921;"1619462151.3809";"0"
215;1.45814;"1619462152.1309";"0"
216;1.43006;"1619462152.3809";"0"
213;1.44277;"1619462151.6309";"0"
211;1.35566;"1619462151.1309";"0"
214;1.45302;"1619462151.8809";"0"
221;1.41468;"1619462153.6309";"0"
217;1.42621;"1619462152.6309";"0"
222;1.39803;"1619462153.8809";"0"
218;1.41981;"1619462152.8809";"0"
220;1.42749;"1619462153.3809";"0"
219;1.41468;"1619462153.1309";"0"
223;1.39034;"1619462154.1309";"0"
226;1.37882;"1619462154.8809";"0"
227;1.35576;"1619462155.1309";"0"
225;1.3801;"1619462154.6309";"0"
224;1.38522;"1619462154.3809";"0"
228;1.3596;"1619462155.3809";"0"
229;1.36088;"1619462155.6309";"0"
232;1.33526;"1619462156.3809";"0"
231;1.34551;"1619462156.1309";"0"
230;1.35191;"1619462155.8809";"0"
234;1.33014;"1619462156.8809";"0"
233;1.32629;"1619462156.6309";"0"
239;1.37753;"1619462158.1309";"0"
237;1.3596;"1619462157.6309";"0"
238;1.36601;"1619462157.8809";"0"
236;1.35191;"1619462157.3809";"0"
235;1.33142;"1619462157.1309";"0"
240;1.38138;"1619462158.3809";"0"
243;1.3865;"1619462159.1309";"0"
245;1.36857;"1619462159.6309";"0"
246;1.36729;"1619462159.8809";"0"
244;1.37497;"1619462159.3809";"0"
241;1.38522;"1619462158.6309";"0"
242;1.38522;"1619462158.8809";"0"
248;1.35832;"1619462160.3809";"0"
250;1.35063;"1619462160.8809";"0"
251;1.34807;"1619462161.1309";"0"
252;1.35319;"1619462161.3809";"0"
249;1.34935;"1619462160.6309";"0"
247;1.36088;"1619462160.1309";"0"
255;1.35063;"1619462162.1309";"0"
256;1.34807;"1619462162.3809";"0"
254;1.34551;"1619462161.8809";"0"
257;1.34807;"1619462162.6309";"0"
253;1.35448;"1619462161.6309";"0"
258;1.34807;"1619462162.8809";"0"
261;1.35576;"1619462163.6309";"0"
259;1.35063;"1619462163.1309";"0"
263;1.36472;"1619462164.1309";"0"
262;1.36088;"1619462163.8809";"0"
260;1.34935;"1619462163.3809";"0"
264;1.37369;"1619462164.3809";"0"
265;1.407;"1619462164.6309";"0"
268;1.40956;"1619462165.3809";"0"
270;1.40059;"1619462165.8809";"0"
267;1.41084;"1619462165.1309";"0"
266;1.40956;"1619462164.8809";"0"
269;1.40828;"1619462165.6309";"0"
274;1.39675;"1619462166.8809";"0"
276;1.39034;"1619462167.3809";"0"
271;1.40187;"1619462166.1309";"0"
275;1.39419;"1619462167.1309";"0"
272;1.39931;"1619462166.3809";"0"
273;1.39419;"1619462166.6309";"0"
277;1.39034;"1619462167.6309";"0"
279;1.41212;"1619462168.1309";"0"
280;1.43134;"1619462168.3809";"0"
281;1.45055;"1619462168.6309";"0"
282;1.46464;"1619462168.8809";"0"
278;1.39803;"1619462167.8809";"0"
283;1.47617;"1619462169.1309";"0"
287;1.54791;"1619462170.1309";"0"
288;1.58122;"1619462170.3809";"0"
286;1.52357;"1619462169.8809";"0"
284;1.49283;"1619462169.3809";"0"
285;1.50564;"1619462169.6309";"0"
292;1.63246;"1619462171.3809";"0"
294;1.60299;"1619462171.8809";"0"
291;1.63374;"1619462171.1309";"0"
293;1.6158;"1619462171.6309";"0"
290;1.6299;"1619462170.8809";"0"
289;1.60812;"1619462170.6309";"0"
295;1.59403;"1619462172.1309";"0"
300;1.54407;"1619462173.3809";"0"
296;1.5825;"1619462172.3809";"0"
298;1.55816;"1619462172.8809";"0"
299;1.55047;"1619462173.1309";"0"
297;1.56713;"1619462172.6309";"0"
305;1.52613;"1619462174.6309";"0"
306;1.52101;"1619462174.8809";"0"
301;1.54151;"1619462173.6309";"0"
302;1.53894;"1619462173.8809";"0"
303;1.53254;"1619462174.1309";"0"
304;1.52613;"1619462174.3809";"0"
309;1.51588;"1619462175.6309";"0"
307;1.5146;"1619462175.1309";"0"
312;1.50692;"1619462176.3809";"0"
310;1.51076;"1619462175.8809";"0"
311;1.51332;"1619462176.1309";"0"
308;1.5146;"1619462175.3809";"0"
316;1.49667;"1619462177.3809";"0"
314;1.50051;"1619462176.8809";"0"
313;1.50564;"1619462176.6309";"0"
315;1.50179;"1619462177.1309";"0"
317;1.50436;"1619462177.6309";"0"
318;1.49923;"1619462177.8809";"0"
324;1.49026;"1619462179.3809";"0"
320;1.49539;"1619462178.3809";"0"
322;1.49026;"1619462178.8809";"0"
319;1.49283;"1619462178.1309";"0"
323;1.4877;"1619462179.1309";"0"
321;1.49283;"1619462178.6309";"0"
